date,engin,runway,captain,airport,system,offic,control,land,oper,pilot
2007-01-31,0,0,0,0,0,0,0,0,0,0
2007-02-28,5,77,112,29,17,75,18,39,14,12
2007-03-31,0,0,0,0,0,0,0,0,0,0
2007-04-30,4,49,74,53,18,49,10,51,14,41
2007-05-31,0,0,0,0,0,0,0,0,0,0
2007-06-30,5,6,89,10,35,62,12,17,21,40
2007-07-31,10,0,0,15,61,11,25,7,56,128
2007-08-31,0,0,0,0,0,0,0,0,0,0
2007-09-30,82,11,36,8,59,37,16,30,22,1
2007-10-31,0,0,0,0,0,0,0,0,0,0
2007-11-30,0,0,0,0,0,0,0,0,0,0
2007-12-31,0,0,0,0,0,0,0,0,0,0
2008-01-31,0,0,0,0,0,0,0,0,0,0
2008-02-29,0,0,0,0,0,0,0,0,0,0
2008-03-31,31,3,0,52,2,3,14,8,24,49
2008-04-30,0,0,0,0,0,0,0,0,0,0
2008-05-31,0,0,0,0,0,0,0,0,0,0
2008-06-30,31,0,0,1,12,3,0,20,12,40
2008-07-31,3,32,64,22,37,59,27,60,22,12
2008-08-31,0,0,0,0,0,0,0,0,0,0
2008-09-30,6,45,0,14,31,5,27,19,16,33
2008-10-31,38,23,67,12,31,44,14,22,22,9
2008-11-30,0,0,0,0,0,0,0,0,0,0
2008-12-31,11,58,60,42,30,58,15,3,13,31
2009-01-31,69,27,129,43,66,108,31,26,32,15
2009-02-28,11,3,124,32,23,71,17,20,25,19
2009-03-31,18,10,0,34,65,2,23,6,16,26
2009-04-30,0,0,0,0,0,0,0,0,0,0
2009-05-31,0,0,0,0,0,0,0,0,0,0
2009-06-30,0,0,0,0,0,0,0,0,0,0
